name,company,year,kms_driven,fuel_type,Price
Toyota Corolla Altis,Toyota,2014,29000,Petrol,790000
Hyundai Elite i20,Hyundai,2017,31000,Petrol,599999
Renault Duster 85,Renault,2014,59000,Diesel,489999
Tata Bolt XM,Tata,2015,15000,Petrol,600000
Tata Sumo Gold,Tata,2012,75000,Diesel,210000
Hyundai Accent,Hyundai,2010,45000,Petrol,99999
Maruti Suzuki Alto,Maruti,2017,21000,Petrol,270000
Mahindra Scorpio S10,Mahindra,2016,43000,Diesel,350000
Mahindra Scorpio SLX,Mahindra,2008,70000,Diesel,300000
Skoda Octavia Classic,Skoda,2006,65000,Diesel,114990
Hyundai i20 Magna,Hyundai,2009,32000,Petrol,195000
Ford EcoSport Ambiente,Ford,2016,24530,Diesel,830000
Maruti Suzuki Swift,Maruti,2015,22000,Petrol,475000
Maruti Suzuki Dzire,Maruti,2012,40000,Petrol,299999
Hyundai Elite i20,Hyundai,2018,7800,Petrol,600000
Maruti Suzuki Dzire,Maruti,2017,80000,Diesel,488000
Skoda Fabia 1.2L,Skoda,2011,38200,Diesel,159500
Tata Indica eV2,Tata,2015,60105,Diesel,140000
Maruti Suzuki Wagon,Maruti,2014,37458,Petrol,130000
Mercedes Benz GLA,Mercedes,2015,20000,Diesel,2000000
Mahindra TUV300 T4,Mahindra,2016,35000,Diesel,540000
Chevrolet Beat PS,Chevrolet,2012,65422,Diesel,215000
Hyundai Elantra SX,Hyundai,2013,20000,Petrol,600000
Hyundai i20,Hyundai,2014,23000,Petrol,449999
Maruti Suzuki Wagon,Maruti,2008,68000,Petrol,140000
Mahindra Scorpio SLX,Mahindra,2008,80000,Diesel,285000
Honda City,Honda,2014,45000,Diesel,544999
Maruti Suzuki Zen,Maruti,2004,100000,Petrol,70000
Toyota Fortuner 3.0,Toyota,2010,131000,Diesel,940000
Mahindra Scorpio VLX,Mahindra,2014,50000,Diesel,699000
Maruti Suzuki Esteem,Maruti,2006,45000,Petrol,95000
Tata Indica V2,Tata,2005,150000,Diesel,35000
Ford Fusion 1.4,Ford,2007,85455,Diesel,125000
Honda Amaze,Honda,2015,22000,Petrol,344999
Mahindra Scorpio Vlx,Mahindra,2013,75000,Diesel,690000
Toyota Corolla Altis,Toyota,2010,55000,Petrol,185000
Maruti Suzuki Ertiga,Maruti,2013,42000,Diesel,485000
Maruti Suzuki Dzire,Maruti,2009,46000,Petrol,220000
Mahindra Quanto C4,Mahindra,2013,63000,Diesel,325000
Toyota Etios GD,Toyota,2013,60000,Diesel,350000
Ford EcoSport Titanium,Ford,2014,40000,Diesel,500000
Skoda Fabia 1.2L,Skoda,2011,45863,Diesel,155000
Mahindra Scorpio S10,Mahindra,2015,97200,Diesel,900000
Hyundai i10 Magna,Hyundai,2009,33000,Petrol,400000
Maruti Suzuki Dzire,Maruti,2009,42000,Petrol,210000
Maruti Suzuki Vitara,Maruti,2016,25000,Diesel,580000
Maruti Suzuki Ertiga,Maruti,2012,200000,Diesel,1000000
Renault Duster 85PS,Renault,2013,57923,Diesel,401919
Mahindra Scorpio SLE,Mahindra,2015,48660,Diesel,320000
Maruti Suzuki Zen,Maruti,2003,69900,Petrol,85000
Honda Amaze 1.5,Honda,2015,36000,Diesel,345000
Honda Amaze,Honda,2013,46000,Diesel,284999
Maruti Suzuki Swift,Maruti,2011,47000,Diesel,209000
Chevrolet Tavera LS,Chevrolet,2005,68485,Diesel,130000
Hyundai i20 Magna,Hyundai,2011,42000,Petrol,240000
Mahindra XUV500 W6,Mahindra,2013,52800,Diesel,549900
Tata Indigo eCS,Tata,2016,175430,Diesel,320000
Force Motors One,Force,2013,140000,Diesel,550000
Toyota Etios Liva,Toyota,2014,24652,Petrol,160000
Hyundai i20,Hyundai,2009,31000,Petrol,199000
Hyundai Santro Xing,Hyundai,2006,60000,Petrol,85000
Tata Nano LX,Tata,2010,48008,Petrol,32000
Maruti Suzuki Dzire,Maruti,2009,46000,Petrol,220000
Mahindra Jeep CL550,Mahindra,2018,588,Diesel,385000
Maruti Suzuki Zen,Maruti,2008,23000,Petrol,135000
Audi Q7,Audi,2014,16934,Diesel,500000
Ford EcoSport Titanium,Ford,2014,36000,Diesel,575000
Maruti Suzuki Swift,Maruti,2015,42000,Diesel,425000
Maruti Suzuki Ritz,Maruti,2014,19000,Petrol,299999
Tata Indigo LX,Tata,2016,104000,Diesel,130000
Maruti Suzuki Swift,Maruti,2011,65,Petrol,230000
Hyundai i10 Sportz,Hyundai,2012,34000,Petrol,230000
Hyundai Eon Magna,Hyundai,2014,35000,Petrol,190000
Mahindra Bolero DI,Mahindra,2012,59466,Diesel,220000
Volkswagen Vento Konekt,Volkswagen,2011,65000,Diesel,245000
Mahindra Jeep MM,Mahindra,2019,60,Diesel,390000
Renault Duster 110,Renault,2012,38000,Diesel,501000
Hyundai Getz,Hyundai,2006,80000,Petrol,125000
Maruti Suzuki Stingray,Maruti,2015,30000,Petrol,315000
Maruti Suzuki Eeco,Maruti,2015,9300,Petrol,255000
Hyundai i20 Sportz,Hyundai,2012,55000,Petrol,100000
Mitsubishi Pajero Sport,Mitsubishi,2015,47000,Diesel,1475000
Mahindra Scorpio SLX,Mahindra,2004,60000,Diesel,175000
Hyundai Santro Xing,Hyundai,2007,47000,Petrol,135000
Hyundai i20 Select,Hyundai,2011,40000,Petrol,290000
Maruti Suzuki Ertiga,Maruti,2015,75000,Petrol,550000
Datsun Redi GO,Datsun,2017,22000,Petrol,244999
Maruti Suzuki Swift,Maruti,2015,43000,Diesel,475000
Mahindra Quanto C8,Mahindra,2013,20000,Diesel,375000
Audi A4 1.8,Audi,2009,47000,Petrol,699000
Ford Figo Diesel,Ford,2012,35000,Diesel,210000
Maruti Suzuki Alto,Maruti,2015,5000,Petrol,230000
Hyundai i10 Magna,Hyundai,2008,100200,Petrol,275000
Maruti Suzuki Baleno,Maruti,2016,40000,Petrol,425000
Hyundai Accent GLX,Hyundai,2006,56000,Petrol,80000
Hyundai Santro Xing,Hyundai,2005,7500,Petrol,49000
Tata Indigo eCS,Tata,2016,104000,Diesel,160000
Chevrolet Spark LS,Chevrolet,2010,23000,Petrol,95000
Datsun Redi GO,Datsun,2016,7000,Petrol,245000
Renault Duster,Renault,2014,50000,Diesel,449999
Tata Tigor Revotron,Tata,2019,100,Diesel,650000
Ford Fiesta SXi,Ford,2009,56400,Petrol,250000
Hyundai Fluidic Verna,Hyundai,2015,38000,Diesel,540000
Renault Duster 110PS,Renault,2012,35000,Diesel,501000
Hyundai Getz Prime,Hyundai,2009,20000,Petrol,115000
Hyundai Creta 1.6,Hyundai,2017,32000,Petrol,895000
Renault Scala RxL,Renault,2014,49000,Diesel,349999
Maruti Suzuki Wagon,Maruti,2003,133000,Petrol,130000
Honda Amaze,Honda,2015,22000,Petrol,344999
Hyundai Elite i20,Hyundai,2014,32000,Petrol,415000
Maruti Suzuki Swift,Maruti,2014,120000,Diesel,260000
Maruti Suzuki Dzire,Maruti,2015,104000,Diesel,450000
Honda Amaze 1.5,Honda,2013,45000,Diesel,299000
Honda WR V,Honda,2009,60000,Petrol,250000
Mini Cooper S,Mini,2013,13000,Petrol,1891111
Force Motors Force,Force,2015,3200,Diesel,580000
Hyundai Santro Xing,Hyundai,2007,45000,Petrol,80000
Mercedes Benz C,Mercedes,2006,15000,Petrol,500001
Hyundai Grand i10,Hyundai,2017,15141,Petrol,450000
Hyundai Eon,Hyundai,2014,28000,Petrol,200000
Mahindra Logan,Mahindra,2009,65000,Diesel,130000
Chevrolet Beat LS,Chevrolet,2010,56000,Petrol,80000
Honda City SV,Honda,2014,34000,Diesel,475000
Maruti Suzuki Swift,Maruti,2013,13349,Petrol,372000
Datsun GO T,Datsun,2016,7000,Petrol,245000
Hyundai i20 Magna,Hyundai,2010,50000,Petrol,210000
Maruti Suzuki Wagon,Maruti,2018,25500,Petrol,395000
Hyundai Eon Era,Hyundai,2018,2110,Petrol,140000
Chevrolet Beat LS,Chevrolet,2010,43000,Petrol,120000
Mahindra Scorpio,Mahindra,2013,68000,Diesel,574999
Maruti Suzuki 800,Maruti,2000,33400,Petrol,30000
Nissan Sunny,Nissan,2012,45000,Petrol,224999
Chevrolet Beat Diesel,Chevrolet,2011,56000,Diesel,125000
Maruti Suzuki Alto,Maruti,2010,55000,Petrol,110000
Maruti Suzuki Swift,Maruti,2009,90000,Diesel,120000
Hyundai Grand i10,Hyundai,2014,25000,Petrol,340000
Chevrolet Beat Diesel,Chevrolet,2017,62000,Diesel,150000
Maruti Suzuki Maruti,Maruti,2003,56758,Petrol,57000
Volkswagen Vento Comfortline,Volkswagen,2011,95000,Diesel,200000
Skoda Laura,Skoda,2012,44000,Diesel,349999
Maruti Suzuki Dzire,Maruti,2015,45000,Diesel,444999
Maruti Suzuki Zen,Maruti,2004,56000,Petrol,68000
Maruti Suzuki SX4,Maruti,2010,36000,Petrol,249999
Honda City 1.5,Honda,2010,400000,Petrol,240000
Hyundai Verna 1.4,Hyundai,2014,36000,Petrol,375000
Chevrolet Cruze LTZ,Chevrolet,2014,41000,Diesel,400000
Mini Cooper S,Mini,2013,13500,Petrol,1891111
Maruti Suzuki Alto,Maruti,2013,39000,Petrol,125000
Mahindra Quanto C8,Mahindra,2013,40000,Diesel,390000
Maruti Suzuki Swift,Maruti,2009,51000,Diesel,250000
Honda Amaze 1.2,Honda,2014,42000,Petrol,325000
Hyundai Eon,Hyundai,2013,25000,Petrol,190000
Volkswagen Polo Trendline,Volkswagen,2015,25000,Diesel,350000
Tata Indigo CS,Tata,2015,100000,Diesel,123000
Maruti Suzuki Swift,Maruti,2013,13349,Petrol,372000
Jaguar XE XE,Jaguar,2016,8500,Petrol,2800000
Maruti Suzuki Alto,Maruti,2015,14000,Petrol,265000
Maruti Suzuki Swift,Maruti,2011,64000,Petrol,255000
Maruti Suzuki Alto,Maruti,2015,50000,Petrol,215000
Hyundai Fluidic Verna,Hyundai,2015,38000,Diesel,540000
Honda Mobilio,Honda,2014,44000,Petrol,399999
Maruti Suzuki Swift,Maruti,2010,74000,Diesel,190000
Tata Nano Lx,Tata,2010,9000,Petrol,52000
Maruti Suzuki Wagon,Maruti,2006,7000,Petrol,100000
Renault Duster,Renault,2014,50000,Diesel,474999
Maruti Suzuki Alto,Maruti,2018,7500,Petrol,200000
Maruti Suzuki Omni,Maruti,2000,60000,Petrol,35999
Tata Indica eV2,Tata,2012,55000,Diesel,85000
Maruti Suzuki Ciaz,Maruti,2016,3350,Petrol,700000
Maruti Suzuki Swift,Maruti,2014,44000,Petrol,315000
Mahindra Scorpio S10,Mahindra,2015,48508,Diesel,250000
Maruti Suzuki Wagon,Maruti,2014,18500,Petrol,250000
Maruti Suzuki Dzire,Maruti,2016,2500,Diesel,450000
Honda Brio VX,Honda,2017,11000,Petrol,450000
Hyundai Elite i20,Hyundai,2016,9000,Petrol,549999
Mahindra XUV500,Mahindra,2016,72000,Diesel,1130000
Maruti Suzuki Alto,Maruti,2005,47000,Petrol,70000
Renault Duster,Renault,2014,50000,Diesel,449999
Honda City 1.5,Honda,2010,70000,Petrol,225000
Mahindra Scorpio,Mahindra,2015,22000,Diesel,984999
Hyundai Creta 1.6,Hyundai,2016,25000,Petrol,950000
Renault Duster 85,Renault,2013,27000,Diesel,489999
Volkswagen Polo,Volkswagen,2010,60000,Diesel,199999
Mahindra Scorpio S10,Mahindra,2016,39522,Diesel,310000
Ford Fiesta,Ford,2011,55000,Diesel,274999
Ford EcoSport Trend,Ford,2014,16000,Petrol,400000
Hyundai Verna Fluidic,Hyundai,2012,40000,Diesel,444999
Maruti Suzuki Alto,Maruti,2017,60000,Petrol,240000
Maruti Suzuki Swift,Maruti,2008,60000,Diesel,162000
Hyundai Santro Xing,Hyundai,2007,45000,Petrol,80000
Maruti Suzuki Swift,Maruti,2015,129000,Diesel,220000
Nissan X Trail,Nissan,2019,300,Diesel,1200000
Toyota Corolla Altis,Toyota,2009,65000,Petrol,199999
Tata Indigo eCS,Tata,2014,40000,Diesel,250000
Maruti Suzuki Vitara,Maruti,2016,15975,Diesel,290000
BMW X1 sDrive20d,BMW,2012,41000,Diesel,1025000
Mahindra Scorpio S10,Mahindra,2015,97200,Diesel,900000
Renault Duster 85,Renault,2013,27000,Diesel,489999
Maruti Suzuki Wagon,Maruti,2012,44000,Petrol,199999
Hyundai Eon Sportz,Hyundai,2012,30000,Petrol,178000
