name,company,year,kms_driven,fuel_type,Price
Tata Indigo eCS,Tata,2016,150000,Diesel,130000
Honda City VX,Honda,2016,52000,Diesel,519000
Mahindra Xylo E8,Mahindra,2011,43000,Diesel,365000
Hyundai Eon Era,Hyundai,2012,38000,Petrol,188000
Tata Nano,Tata,2013,7000,Petrol,60000
Hyundai Santro,Hyundai,2003,51000,Petrol,60000
Audi Q5 2.0,Audi,2014,34000,Diesel,2390000
Maruti Suzuki Omni,Maruti,2001,70000,Petrol,70000
Toyota Qualis,Toyota,2003,100000,Diesel,180000
Hyundai Verna Fluidic,Hyundai,2012,10000,Diesel,350000
Renault Kwid RXT,Renault,2018,15000,Petrol,325000
Tata Indigo CS,Tata,2016,85000,Diesel,110000
Hyundai Elite i20,Hyundai,2015,20000,Petrol,419000
Maruti Suzuki Estilo,Maruti,2013,65000,Petrol,180000
Maruti Suzuki Esteem,Maruti,2007,51000,Petrol,69999
Honda Amaze 1.2,Honda,2014,33000,Petrol,311000
Maruti Suzuki Omni,Maruti,2013,25000,Petrol,165000
Hyundai Elite i20,Hyundai,2015,22000,Petrol,500000
Maruti Suzuki Maruti,Maruti,1995,55000,Petrol,30000
Honda Amaze,Honda,2013,46000,Diesel,284999
Datsun Redi GO,Datsun,2018,7000,Petrol,299999
Mahindra XUV500,Mahindra,2013,80000,Diesel,689999
Ford Ikon 1.3,Ford,2001,65000,Petrol,45000
Hyundai Grand i10,Hyundai,2014,41000,Petrol,320000
Tata Vista Quadrajet,Tata,2011,90000,Diesel,120000
Maruti Suzuki Ritz,Maruti,2013,33000,Diesel,399999
Jaguar XF 2.2,Jaguar,2013,29000,Diesel,2190000
Maruti Suzuki S,Maruti,2016,21000,Diesel,615000
Skoda Fabia 1.2L,Skoda,2011,38200,Diesel,159500
Maruti Suzuki Swift,Maruti,2014,55000,Diesel,335000
Honda City,Honda,2000,80000,Petrol,65000
Land Rover Freelander,Land,2015,30000,Diesel,2100000
Maruti Suzuki Swift,Maruti,2008,58000,Diesel,175000
Renault Duster RxL,Renault,2015,36000,Petrol,550000
Maruti Suzuki Omni,Maruti,2014,6020,Petrol,190000
Mahindra Bolero Power,Mahindra,2018,1800,Diesel,699000
Hyundai Grand i10,Hyundai,2015,53000,Petrol,340000
Mahindra KUV100,Mahindra,2017,35000,Diesel,360000
Honda City VX,Honda,2016,95000,Petrol,860000
Maruti Suzuki Alto,Maruti,2005,40000,Petrol,100000
Maruti Suzuki Swift,Maruti,2011,58000,Diesel,250000
Maruti Suzuki Zen,Maruti,2008,46000,Petrol,125000
Mahindra Xylo D2,Mahindra,2011,56000,Diesel,390000
Mahindra Scorpio 2.6,Mahindra,2004,58000,Diesel,175000
Toyota Fortuner 3.0,Toyota,2013,97000,Diesel,1499000
Maruti Suzuki Celerio,Maruti,2018,37000,Petrol,310000
Hyundai i10 Magna,Hyundai,2009,75000,Petrol,170000
Hyundai Verna Transform,Hyundai,2008,45000,Petrol,160000
Maruti Suzuki Ciaz,Maruti,2017,14000,Petrol,699000
Hyundai i10 Sportz,Hyundai,2010,45872,Petrol,168000
Ford EcoSport Trend,Ford,2017,10000,Petrol,580000
Skoda Yeti Ambition,Skoda,2012,68000,Diesel,448000
Maruti Suzuki Alto,Maruti,2019,9800,Petrol,265000
Mahindra XUV500,Mahindra,2014,52000,Diesel,699999
Mitsubishi Pajero Sport,Mitsubishi,2015,37000,Diesel,1725000
Skoda Fabia,Skoda,2009,45000,Petrol,110000
Maruti Suzuki Alto,Maruti,2013,20000,Petrol,240000
Tata Zest XE,Tata,2017,120000,Diesel,290000
Chevrolet Beat LT,Chevrolet,2012,45000,Diesel,135000
Tata Indigo eCS,Tata,2016,104000,Diesel,230000
Hyundai i20 Active,Hyundai,2015,37000,Diesel,535000
Maruti Suzuki Swift,Maruti,2014,23000,Petrol,365000
Toyota Fortuner 3.0,Toyota,2015,120000,Diesel,1525000
Maruti Suzuki Ertiga,Maruti,2013,52500,Diesel,485000
Tata Tiago Revotron,Tata,2018,3500,Petrol,430000
Mahindra Xylo E4,Mahindra,2012,35000,Diesel,400000
Honda Jazz S,Honda,2009,24695,Petrol,169999
Hyundai Grand i10,Hyundai,2016,59910,Diesel,280000
Hyundai Getz GLE,Hyundai,2007,55000,Petrol,99000
Honda City ZX,Honda,2008,45000,Petrol,110000
Ford Figo,Ford,2012,41000,Diesel,175000
Maruti Suzuki Swift,Maruti,2017,41800,Diesel,650000
Mahindra Xylo D2,Mahindra,2009,62000,Diesel,300000
Hyundai Elite i20,Hyundai,2015,30000,Petrol,470000
Maruti Suzuki Alto,Maruti,2017,6200,Petrol,280000
Hyundai Santro AE,Hyundai,2011,45000,Petrol,165000
Hyundai i10 Magna,Hyundai,2014,18000,Petrol,265000
Maruti Suzuki Ertiga,Maruti,2012,39000,Diesel,389700
Mahindra TUV300 T8,Mahindra,2018,4500,Diesel,1000000
Mitsubishi Lancer 1.8,Mitsubishi,2006,50000,Petrol,85000
Mitsubishi Pajero Sport,Mitsubishi,2015,47000,Diesel,1475000
Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000
Maruti Suzuki Alto,Maruti,2010,34580,Petrol,135000
Hindustan Motors Ambassador,Hindustan,2000,200000,Diesel,70000
Mahindra Bolero DI,Mahindra,2017,23452,Diesel,180000
Hyundai Santro Xing,Hyundai,2007,65000,Petrol,55000
Tata Indigo eCS,Tata,2016,175400,Diesel,320000
Hindustan Motors Ambassador,Hindustan,2002,25000,Diesel,90000
Maruti Suzuki Swift,Maruti,2012,40000,Petrol,225000
Tata Indica V2,Tata,2008,11000,Petrol,150000
Volkswagen Vento Highline,Volkswagen,2015,34000,Diesel,550000
Renault Duster 110,Renault,2013,38600,Diesel,490000
Maruti Suzuki Alto,Maruti,2011,32000,Petrol,155000
Maruti Suzuki Zen,Maruti,2002,10544,Petrol,95000
Maruti Suzuki Eeco,Maruti,2015,39000,Petrol,278000
Volkswagen Jetta Highline,Volkswagen,2014,46000,Diesel,749999
Tata Indigo eCS,Tata,2017,130000,Diesel,200000
Toyota Fortuner 3.0,Toyota,2015,120000,Diesel,1525000
Mitsubishi Pajero Sport,Mitsubishi,2015,42590,Diesel,1490000
Toyota Corolla,Toyota,2009,26000,,275000
Honda City 1.5,Honda,2009,55000,Petrol,270000
Hyundai Getz Prime,Hyundai,2009,20000,Petrol,110000
Volkswagen Polo Highline,Volkswagen,2014,60000,Petrol,315000
Audi A8,Audi,2017,4000,Petrol,1000000
Maruti Suzuki Swift,Maruti,2010,43200,Diesel,159500
Maruti Suzuki Alto,Maruti,2015,60000,Petrol,250000
Hyundai Eon D,Hyundai,2016,87000,Petrol,120000
Maruti Suzuki Versa,Maruti,2004,50000,Petrol,80000
Honda City,Honda,2015,54000,Petrol,448999
Volkswagen Polo,Volkswagen,2015,38000,Diesel,330000
Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000
Hyundai Eon,Hyundai,2014,14000,Petrol,174999
Maruti Suzuki Zen,Maruti,2006,32000,Petrol,71000
Hyundai Santro Xing,Hyundai,2007,46000,Petrol,135000
Chevrolet Tavera Neo,Chevrolet,2013,55000,Diesel,375000
Hyundai i10 Sportz,Hyundai,2011,38000,Petrol,220000
Hyundai i20 Asta,Hyundai,2012,36200,Diesel,329500
Fiat Linea Emotion,Fiat,2009,64000,Petrol,120000
Mahindra XUV500 W6,Mahindra,2013,49800,Diesel,548900
Tata Zest XE,Tata,2018,103553,Diesel,480000
Toyota Corolla Altis,Toyota,2009,132000,Petrol,300000
Renault Kwid 1.0,Renault,2018,10000,Petrol,349999
Volkswagen Passat Diesel,Volkswagen,2009,97000,Diesel,450000
Chevrolet Beat LS,Chevrolet,2011,45000,Diesel,145000
Maruti Suzuki Omni,Maruti,2012,14000,Petrol,160000
Tata Indica V2,Tata,2012,64000,Diesel,115000
Renault Duster 85,Renault,2015,65000,Diesel,715000
Hyundai Grand i10,Hyundai,2017,2550,Petrol,424999
Maruti Suzuki Zen,Maruti,2010,35000,Petrol,149000
Maruti Suzuki Alto,Maruti,2012,14000,Petrol,155000
Hyundai Xcent SX,Hyundai,2015,43000,Diesel,400000
Volkswagen Vento Konekt,Volkswagen,2011,65000,Diesel,245000
Mahindra Jeep CL550,Mahindra,2006,40,Diesel,425000
Mahindra Scorpio VLX,Mahindra,2014,77000,Diesel,650000
Tata Indigo eCS,Tata,2014,195000,Diesel,95000
Ford EcoSport,Ford,2017,39000,Petrol,489999
Hyundai i20 Active,Hyundai,2015,18000,Petrol,500000
Renault Lodgy 85,Renault,2018,20000,Diesel,689999
Maruti Suzuki Ritz,Maruti,2010,72160,Diesel,180000
Mahindra Scorpio S10,Mahindra,2015,97200,Diesel,900000
Maruti Suzuki Baleno,Maruti,2016,22000,Petrol,498000
Honda City ZX,Honda,2008,42000,Petrol,149000
Maruti Suzuki A,Maruti,2011,12500,Petrol,189500
Hyundai i20 Active,Hyundai,2015,35000,Diesel,574999
Tata Indigo Marina,Tata,2004,70000,Diesel,180000
Toyota Fortuner,Toyota,2011,52000,Diesel,1074999
Mini Cooper S,Mini,2013,13000,Petrol,1891111
Mahindra Jeep CL550,Mahindra,2006,40,Diesel,425000
Mahindra Scorpio,Mahindra,2015,45000,Diesel,944999
Chevrolet Beat LT,Chevrolet,2012,90001,Diesel,130000
Hyundai Sonata Transform,Hyundai,2017,36469,Diesel,190000
Maruti Suzuki Swift,Maruti,2011,45000,Petrol,225000
Honda City 1.5,Honda,2014,39000,Petrol,549000
Maruti Suzuki Swift,Maruti,2009,51000,Diesel,250000
Maruti Suzuki Omni,Maruti,2009,45000,Petrol,85000
Renault Kwid RXT,Renault,2019,1000,Petrol,370000
Maruti Suzuki Swift,Maruti,2016,146000,Diesel,350000
Maruti Suzuki Alto,Maruti,2015,55800,Petrol,90000
Chevrolet Tavera Neo,Chevrolet,2013,55000,Diesel,375000
Hyundai Eon Magna,Hyundai,2013,23000,Petrol,185000
Tata Indigo LX,Tata,2016,104000,Diesel,230000
Mahindra Xylo D2,Mahindra,2011,48000,Diesel,390000
Mahindra Scorpio SLX,Mahindra,2007,75000,Diesel,355000
Hyundai Santro Xing,Hyundai,2007,42000,Petrol,135000
Hyundai Santro Xing,Hyundai,2003,50000,Petrol,120000
Maruti Suzuki Zen,Maruti,2009,0,Petrol,125000
Maruti Suzuki Wagon,Maruti,2006,48000,Petrol,90001
Ford Figo,Ford,2012,41000,Diesel,175000
Tata Indica,Tata,2005,42000,Petrol,80000
Hyundai i10 Era,Hyundai,2011,30000,Petrol,175000
Hyundai Eon D,Hyundai,2013,20000,Petrol,170000
Ford Figo Diesel,Ford,2014,50000,Diesel,195000
Hyundai i20 Sportz,Hyundai,2012,55000,Petrol,100000
Maruti Suzuki Vitara,Maruti,2016,29000,Diesel,689999
Maruti Suzuki Eeco,Maruti,2013,70000,LPG,290000
Chevrolet Beat LT,Chevrolet,2011,40000,Diesel,150000
Hyundai Santro Xing,Hyundai,2000,56450,Petrol,59000
Toyota Innova 2.5,Toyota,2006,73000,Diesel,365000
Hyundai Santro Xing,Hyundai,2006,46000,Petrol,75000
Mercedes Benz A,Mercedes,2013,14000,Petrol,1500000
Hyundai Grand i10,Hyundai,2017,20000,Petrol,400000
Hyundai Verna,Hyundai,2014,44000,Diesel,489999
Mahindra KUV100,Mahindra,2016,26500,Petrol,380000
Renault Duster,Renault,2015,49000,Diesel,449999
Tata Indigo CS,Tata,2017,50000,Diesel,270000
Ford EcoSport Trend,Ford,2016,24330,Diesel,830000
Honda City ZX,Honda,2006,50000,Petrol,180000
Hyundai Verna Fluidic,Hyundai,2015,35000,Diesel,525000
Toyota Innova 2.5,Toyota,2012,0,Diesel,770000
Honda City 1.5,Honda,2005,50000,Petrol,90000
Toyota Corolla Altis,Toyota,2010,58000,Petrol,220000
Renault Scala RxL,Renault,2015,25000,Diesel,375000
Mahindra Jeep CL550,Mahindra,2018,588,Diesel,385000
Honda Mobilio S,Honda,2014,44000,Diesel,399000
Maruti Suzuki Alto,Maruti,2017,5600,Petrol,350000
Maruti Suzuki Zen,Maruti,2003,60000,Petrol,48000
Maruti Suzuki Alto,Maruti,2015,39000,Petrol,75000
Tata Indica V2,Tata,2009,30600,Diesel,90000
Datsun Redi GO,Datsun,2017,16000,Petrol,235000
Hyundai Grand i10,Hyundai,2014,49000,Diesel,345000
Renault Lodgy 85,Renault,2018,20000,Diesel,689999
Hyundai Elite i20,Hyundai,2015,30000,Petrol,400000
Ford EcoSport Titanium,Ford,2014,44000,Diesel,550000
